player_display_name,position,team,our_model_rank,our_projected_points,fp_ecr_rank,sleeper_adp,consensus_blend_rank,diff_our_vs_blend,diff_our_vs_fp
Ronnie Rivers,RB,LA,288,,141.0,,214.5,73.5,147.0
Davis Allen,TE,LA,289,,82.0,,185.5,103.5,207.0
Jermaine Burton,WR,CIN,290,,164.0,,227.0,63.0,126.0
Lucas Krull,TE,DEN,291,,108.0,,199.5,91.5,183.0
Aaron Rodgers,QB,NYJ,292,,29.0,,160.5,131.5,263.0
Olamide Zaccheaus,WR,WAS,293,,116.0,,204.5,88.5,177.0
Johnny Mundt,TE,MIN,294,,89.0,,191.5,102.5,205.0
Cam Grandy,TE,CIN,295,,,,295.0,0.0,
Tyler Goodson,RB,IND,296,,123.0,,209.5,86.5,173.0
Tyler Lockett,WR,SEA,297,,149.0,,223.0,74.0,148.0
Jamaal Williams,RB,NO,298,,,,298.0,0.0,
Luke McCaffrey,WR,WAS,299,,112.0,,205.5,93.5,187.0
David Moore,WR,CAR,300,,198.0,,249.0,51.0,102.0
Blake Whiteheart,TE,CLE,301,,,,301.0,0.0,
Trey Palmer,WR,TB,302,,174.0,,238.0,64.0,128.0
Ty Chandler,RB,MIN,303,,116.0,,209.5,93.5,187.0
Ja'Lynn Polk,WR,NE,304,,144.0,,224.0,80.0,160.0
Elijah Higgins,TE,ARI,305,,54.0,,179.5,125.5,251.0
Xavier Hutchinson,WR,HOU,306,,122.0,,214.0,92.0,184.0
Kalif Raymond,WR,DET,307,,118.0,,212.5,94.5,189.0
Malik Washington,WR,MIA,308,,87.0,,197.5,110.5,221.0
Tre Tucker,WR,LV,309,,72.0,,190.5,118.5,237.0
Hunter Long,TE,LA,310,,76.0,,193.0,117.0,234.0
Tanner Hudson,TE,CIN,311,,83.0,,197.0,114.0,228.0
Luke Farrell,TE,JAX,312,,95.0,,203.5,108.5,217.0
Lil'Jordan Humphrey,WR,DEN,313,,163.0,,238.0,75.0,150.0
Drew Sample,TE,CIN,314,,115.0,,214.5,99.5,199.0
Pharaoh Brown,TE,SEA,315,,,,315.0,0.0,
Jalin Hyatt,WR,NYG,316,,151.0,,233.5,82.5,165.0
Johnny Wilson,WR,PHI,317,,197.0,,257.0,60.0,120.0
Brandin Cooks,WR,DAL,318,,155.0,,236.5,81.5,163.0
Trayveon Williams,RB,CIN,319,,177.0,,248.0,71.0,142.0
Malik Willis,QB,GB,320,,19.0,,169.5,150.5,301.0
Peyton Hendershot,TE,KC,321,,,,321.0,0.0,
Tucker Fisk,TE,LAC,322,,,,322.0,0.0,
Kirk Cousins,QB,ATL,323,,34.0,,178.5,144.5,289.0
Jeff Wilson,RB,MIA,324,,164.0,,244.0,80.0,160.0
Van Jefferson,WR,PIT,325,,166.0,,245.5,79.5,159.0
Eric Tomlinson,TE,LAC,326,,,,326.0,0.0,
Christian Kirk,WR,JAX,327,,92.0,,209.5,117.5,235.0
Kameron Johnson,WR,TB,328,,,,328.0,0.0,
Hassan Haskins,RB,LAC,329,,125.0,,227.0,102.0,204.0
Deonte Harty,WR,BAL,330,,,,330.0,0.0,
Raheem Blackshear,RB,CAR,331,,,,331.0,0.0,
Deven Thompkins,WR,CAR,332,,,,332.0,0.0,
Will Mallory,TE,IND,333,,99.0,,216.0,117.0,234.0
Tyler Boyd,WR,TEN,334,,,,334.0,0.0,
Marcedes Lewis,TE,CHI,335,,,,335.0,0.0,
Chris Manhertz,TE,NYG,336,,,,336.0,0.0,
Dylan Laube,RB,LV,337,,121.0,,229.0,108.0,216.0
Jordan Love,QB,GB,338,,14.0,,176.0,162.0,324.0
K.J. Osborn,WR,WAS,339,,209.0,,274.0,65.0,130.0
Nelson Agholor,WR,BAL,340,,236.0,,288.0,52.0,104.0
Marquez Valdes-Scantling,WR,NO,341,,182.0,,261.5,79.5,159.0
Steven Sims,WR,BAL,342,,,,342.0,0.0,
Nick Westbrook-Ikhine,WR,TEN,343,,103.0,,223.0,120.0,240.0
Ronnie Bell,WR,SF,344,,163.0,,253.5,90.5,181.0
Erick All,TE,CIN,345,,59.0,,202.0,143.0,286.0
Sione Vaki,RB,DET,346,,,,346.0,0.0,
Allen Lazard,WR,NYJ,347,,197.0,,272.0,75.0,150.0
Ben Sims,TE,GB,348,,,,348.0,0.0,
Connor Heyward,TE,PIT,349,,125.0,,237.0,112.0,224.0
Ross Dwelley,TE,ATL,350,,,,350.0,0.0,
Malik Heath,WR,GB,351,,223.0,,287.0,64.0,128.0
Jordan Mims,RB,NO,352,,,,352.0,0.0,
Kenny Yeboah,TE,NYJ,353,,,,353.0,0.0,
David Martin-Robinson,TE,TEN,354,,,,354.0,0.0,
Dare Ogunbowale,RB,HOU,355,,139.0,,247.0,108.0,216.0
Mike Williams,WR,PIT,356,,,,356.0,0.0,
Feleipe Franks,TE,CAR,357,,,,357.0,0.0,
Tanner Conner,TE,MIA,358,,,,358.0,0.0,
DJ Chark,WR,LAC,359,,,,359.0,0.0,
Tip Reiman,TE,ARI,360,,94.0,,227.0,133.0,266.0
Sterling Shepard,WR,TB,361,,163.0,,262.0,99.0,198.0
Brayden Willis,TE,SF,362,,,,362.0,0.0,
Josiah Deguara,TE,JAX,363,,,,363.0,0.0,
Eric Gray,RB,NYG,364,,130.0,,247.0,117.0,234.0
Charlie Jones,WR,CIN,365,,192.0,,278.5,86.5,173.0
Simi Fehoko,WR,LAC,366,,,,366.0,0.0,
Laviska Shenault Jr.,WR,SEA,367,,,,367.0,0.0,
Britain Covey,WR,PHI,368,,,,368.0,0.0,
Avery Williams,RB,ATL,369,,,,369.0,0.0,
Hunter Luepke,RB,DAL,370,,,,370.0,0.0,
Josh Reynolds,WR,JAX,371,,173.0,,272.0,99.0,198.0
Jack Stoll,TE,PHI,372,,120.0,,246.0,126.0,252.0
Jaheim Bell,TE,NE,373,,87.0,,230.0,143.0,286.0
Mike Woods,WR,CLE,374,,,,374.0,0.0,
Ben Sinnott,TE,WAS,375,,45.0,,210.0,165.0,330.0
Charlie Woerner,TE,ATL,376,,,,376.0,0.0,
Trenton Irwin,WR,CIN,377,,235.0,,306.0,71.0,142.0
Dante Pettis,WR,NO,378,,189.0,,283.5,94.5,189.0
Jalen Brooks,WR,DAL,379,,,,379.0,0.0,
Jacob Cowing,WR,SF,380,,165.0,,272.5,107.5,215.0
Chris Collier,RB,LV,381,,,,381.0,0.0,
Myles Gaskin,RB,MIN,382,,195.0,,288.5,93.5,187.0
Tyler Scott,WR,CHI,383,,202.0,,292.5,90.5,181.0
Tyquan Thornton,WR,NE,384,,104.0,,244.0,140.0,280.0
Mike Boone,RB,CAR,385,,172.0,,278.5,106.5,213.0
Colson Yankoff,TE,WAS,386,,,,386.0,0.0,
Justin Watson,WR,KC,387,,206.0,,296.5,90.5,181.0
Ihmir Smith-Marsette,WR,NYG,388,,,,388.0,0.0,
Odell Beckham Jr.,WR,MIA,389,,246.0,,317.5,71.5,143.0
Derek Carr,QB,NO,390,,,,390.0,0.0,
Calvin Austin III,WR,PIT,391,,110.0,,250.5,140.5,281.0
Brandon Powell,WR,MIN,392,,,,392.0,0.0,
Derius Davis,WR,LAC,393,,212.0,,302.5,90.5,181.0
Kevin Austin Jr.,WR,NO,394,,171.0,,282.5,111.5,223.0
