player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0037239,Chris Olave,NO,2026,WR,,13.870159149169922,221.92254638671875,86.36568450927734,178.73970413208008,11.171231508255005,209.94749450683594,255.03712463378906,13,False,130.66782760620117,36.0,48.071876525878906,28,3,11.85,-16.15,
00-0036410,Tee Higgins,CIN,2026,WR,,13.53915023803711,216.62640380859375,77.87358856201172,177.6896095275879,11.105600595474243,184.14834594726562,238.76077270507812,14,False,130.66782760620117,36.0,47.02178192138672,29,3,16.94,-12.059999999999999,
00-0037247,George Pickens,DAL,2026,WR,,13.382269859313965,214.11631774902344,74.68102264404297,176.77580642700195,11.048487901687622,211.83255004882812,250.90182495117188,15,False,130.66782760620117,36.0,46.10797882080078,30,3,11.09,-18.91,bust
00-0040126,Colston Loveland,CHI,2026,TE,,12.31777572631836,197.08441162109375,75.29631805419922,159.43625259399414,9.964765787124634,161.5170440673828,198.35426330566406,2,False,115.28140640258789,12.0,44.15484619140625,31,1,3.19,-27.81,bust
00-0035700,Josh Jacobs,GB,2026,RB,,11.745911135937888,187.9345781750062,33.53994051398683,171.1646079180128,10.6977879948758,157.68411689867963,204.5645982661629,14,False,127.62753663002343,24.0,43.53707128798936,32,3,13.24,-18.759999999999998,bust
00-0035676,A.J. Brown,PHI,2026,WR,,12.793259620666504,204.69215393066406,67.5222396850586,170.93103408813477,10.683189630508423,178.14154052734375,226.59051513671875,17,False,130.66782760620117,36.0,40.263206481933594,33,3,12.68,-20.32,bust
00-0039893,Brian Thomas Jr.,JAX,2026,WR,,12.90981674194336,206.55706787109375,71.31777954101562,170.89817810058594,10.681136131286621,168.7729034423828,227.37588500976562,16,False,130.66782760620117,36.0,40.230350494384766,34,3,39.06,5.060000000000002,
00-0036223,Jonathan Taylor,IND,2026,RB,,11.44013853796372,183.04221660741953,35.05079731815242,165.51681794834334,10.344801121771459,177.03197762021296,241.1311083332665,15,False,127.62753663002343,24.0,37.88928131831992,35,3,4.03,-30.97,bust
00-0040715,Cam Skattebo,NYG,2026,RB,,11.757281007766723,188.11649612426757,45.20947334289551,165.51175945281983,10.34448496580124,156.90320236206054,235.78618362426758,13,False,127.62753663002343,24.0,37.8842228227964,36,3,20.85,-15.149999999999999,
00-0039337,Malik Nabers,NYG,2026,WR,,12.39770221710205,198.3632354736328,67.3107681274414,164.7078514099121,10.294240713119507,182.6141815185547,235.60653686523438,20,False,130.66782760620117,36.0,34.04002380371094,37,3,9.71,-27.29,bust
00-0036970,Kyle Pitts,ATL,2026,TE,,11.813411712646484,189.01458740234375,80.08916473388672,148.9700050354004,9.310625314712524,178.11781311035156,213.105224609375,3,False,115.28140640258789,12.0,33.6885986328125,38,1,,,
00-0034855,Baker Mayfield,TB,2026,QB,15.564222,19.476844787597656,303.1419372558594,0.3882301449775696,302.9478221833706,18.934238886460662,270.13104248046875,310.82806396484375,3,False,269.9794600009918,12.0,32.96836218237877,39,1,19.5,-19.5,bust
00-0037740,Garrett Wilson,NYJ,2026,WR,,12.429161071777344,198.8665771484375,70.5600357055664,163.5865592956543,10.224159955978394,164.86114501953125,215.32923889160156,19,False,130.66782760620117,36.0,32.918731689453125,40,3,15.85,-24.15,bust
00-0037744,Trey McBride,AZ,2026,TE,,11.038461685180664,176.61538696289062,57.79582595825195,147.71747398376465,9.23234212398529,161.39016723632812,264.26385498046875,4,False,115.28140640258789,12.0,32.43606758117676,41,1,1.28,-39.72,bust
00-0039915,Ladd McConkey,LAC,2026,WR,,12.652183532714844,202.4349365234375,78.88121032714844,162.99433135986328,10.187145709991455,180.61656188964844,227.2639617919922,18,False,130.66782760620117,36.0,32.32650375366211,42,3,18.65,-23.35,bust
00-0036442,Joe Burrow,CIN,2026,QB,16.126883,18.531917572021484,298.862060546875,0.2308598756790161,298.7466306090355,18.67166441306472,258.0888366699219,295.62890625,4,False,269.9794600009918,12.0,28.76717060804367,43,1,4.53,-38.47,bust
00-0032764,Derrick Henry,BAL,2026,RB,,10.415658576940524,166.6505372310484,23.28354029423728,155.00876708392974,9.688047942745609,137.92002378564266,189.10860222223107,16,False,127.62753663002343,24.0,27.381230453906312,44,3,14.76,-29.240000000000002,bust
00-0036389,Jalen Hurts,PHI,2026,QB,14.942541,19.687875747680664,294.1868896484375,0.463645339012146,293.9550669789314,18.372191686183214,261.98388671875,305.2149658203125,5,False,269.9794600009918,12.0,23.975606977939606,45,1,5.83,-39.17,bust
00-0039919,Rome Odunze,CHI,2026,WR,,11.369489669799805,181.91183471679688,55.26495361328125,154.27935791015625,9.642459869384766,144.74342346191406,185.38897705078125,26,False,130.66782760620117,36.0,23.611530303955078,46,3,30.06,-15.940000000000001,
00-0040129,Emeka Egbuka,TB,2026,WR,,11.667229652404785,186.67567443847656,64.88487243652344,154.23323822021484,9.639577388763428,164.6314697265625,220.49240112304688,23,False,130.66782760620117,36.0,23.565410614013672,47,3,23.21,-23.79,bust
00-0037240,Jameson Williams,DET,2026,WR,,11.577455520629883,185.23928833007812,62.46852111816406,154.0050277709961,9.625314235687256,160.48667907714844,217.82220458984375,24,False,130.66782760620117,36.0,23.337200164794922,48,3,25.5,-22.5,bust
00-0036040,Juwan Johnson,NO,2026,TE,,10.617012023925781,169.8721923828125,66.015625,136.8643798828125,8.554023742675781,148.78933715820312,189.09034729003906,5,False,115.28140640258789,12.0,21.58297348022461,49,1,16.0,-33.0,bust
00-0031588,Stefon Diggs,NE,2026,WR,,11.719876289367676,187.5180206298828,73.87673950195312,150.57965087890625,9.41122817993164,155.20794677734375,202.28367614746094,22,False,130.66782760620117,36.0,19.911823272705078,50,3,58.16,8.159999999999997,
00-0036997,Javonte Williams,DAL,2026,RB,,10.140289183407104,162.24462693451366,30.47631531526747,147.00646927687993,9.187904329804995,149.209608677336,185.31134702093712,17,False,127.62753663002343,24.0,19.378932646856498,51,3,16.97,-34.03,bust
00-0040735,Luther Burden III,CHI,2026,WR,,10.994688987731934,175.91502380371094,53.498268127441406,149.16588973999023,9.32286810874939,125.38014221191406,175.74954223632812,30,False,130.66782760620117,36.0,18.498062133789062,52,3,20.38,-31.62,bust
00-0035261,Tony Pollard,TEN,2026,RB,,9.791833854579991,156.66934167327986,21.236214900855575,146.0512342228521,9.128202138928255,114.02017553800758,166.78591819841515,20,False,127.62753663002343,24.0,18.42369759282866,53,3,31.21,-21.79,bust
00-0038994,Jordan Addison,MIN,2026,WR,,11.205309867858887,179.2849578857422,60.92375183105469,148.82308197021484,9.301442623138428,139.6708526611328,183.31118774414062,27,False,130.66782760620117,36.0,18.155254364013672,54,3,44.15,-9.850000000000001,
00-0033090,Hunter Henry,NE,2026,TE,,10.28312873840332,164.53005981445312,62.41377258300781,133.32317352294922,8.332698345184326,142.54486083984375,191.3611297607422,7,False,115.28140640258789,12.0,18.041767120361328,55,1,18.75,-36.25,bust
00-0034827,DJ Moore,BUF,2026,WR,,11.02804946899414,176.44879150390625,56.8660888671875,148.0157470703125,9.250984191894531,150.8312530517578,209.04652404785156,29,False,130.66782760620117,36.0,17.347919464111328,56,3,27.62,-28.38,bust
00-0039067,Rashee Rice,KC,2026,WR,,11.748916625976562,187.982666015625,80.00190734863281,147.9817123413086,9.248857021331787,189.20115661621094,240.74855041503906,21,False,130.66782760620117,36.0,17.313884735107422,57,3,10.71,-46.29,bust
00-0040128,Tyler Warren,IND,2026,TE,,10.517572402954102,168.28115844726562,72.18328857421875,132.18951416015625,8.261844635009766,148.69256591796875,183.31515502929688,6,False,115.28140640258789,12.0,16.90810775756836,58,1,4.09,-53.91,bust
00-0040734,TreVeyon Henderson,NE,2026,RB,,10.010139617919922,160.16223388671875,32.29049253463745,144.01698761940003,9.001061726212502,160.29359283447266,197.91821853637697,18,False,127.62753663002343,24.0,16.3894509893766,59,3,21.91,-37.09,bust
00-0039894,Xavier Worthy,KC,2026,WR,,11.071552276611328,177.14483642578125,60.47213363647461,146.90876960754395,9.181798100471497,128.70660400390625,187.59654235839844,28,False,130.66782760620117,36.0,16.240942001342773,60,3,52.47,-7.530000000000001,
00-0036613,Jaylen Waddle,DEN,2026,WR,,11.5105619430542,184.1689910888672,75.4272689819336,146.4553565979004,9.153459787368774,151.74905395507812,207.54290771484375,25,False,130.66782760620117,36.0,15.787528991699219,61,3,21.03,-39.97,bust
00-0037664,Alec Pierce,IND,2026,WR,,10.610461235046387,169.7673797607422,51.52647399902344,144.00414276123047,9.000258922576904,133.98541259765625,177.76148986816406,32,False,130.66782760620117,36.0,13.336315155029297,62,3,36.76,-25.240000000000002,bust
00-0039868,Troy Franklin,DEN,2026,WR,,10.830626487731934,173.29002380371094,59.205345153808594,143.68735122680664,8.980459451675415,142.1377410888672,200.44140625,31,False,130.66782760620117,36.0,13.019523620605469,63,3,70.76,7.760000000000005,
